cable_size,drop_percentage,current,type,status
185,1.6691398351815705,136.04598270856266,current,
1.5,172.26231921700844,,comparison,SEVERE
2.5,105.57417962709407,,comparison,SEVERE
4,66.3203069254197,,comparison,SEVERE
6,43.44155881731181,,comparison,SEVERE
10,25.253245413148825,,comparison,SEVERE
16,15.599331794718776,,comparison,SEVERE
25,10.94400952145356,,comparison,SEVERE
35,7.678340372039705,,comparison,SEVERE
50,5.103369274396751,,comparison,WARNING
70,3.807221912327222,,comparison,SUBMAIN
95,2.747357879908203,,comparison,SUBMAIN
120,2.231220163507432,,comparison,SUBMAIN
150,1.7933527793152495,,comparison,OK
240,1.1022557327024767,,comparison,OK
300,0.8622244503458145,,comparison,OK
400,0.6446008918285443,,comparison,OK
500,0.5325868679495416,,comparison,OK
630,0.4150778649270249,,comparison,OK
